Date,NoDur,Durbl,Manuf,Enrgy,HiTec,Telcm,Shops,Hlth ,Utils,Other
19261214,-0.14,0.55,0.49,0.17,-0.16,0.16,-0.08,0.16,-0.57,0.07
19261215,-0.03,-0.53,0.25,0.73,0.47,-0.04,-0.28,-0.16,0.22,0.2
19261216,-0.46,-1.19,-1,-0.37,-0.63,0.1,-0.94,-0.56,-0.51,-0.49
19261217,0.44,1.19,1.52,0.56,0.56,1.46,-0.14,-0.25,0.1,1.41
19261218,0.38,1.19,0.23,0.23,0.79,0.42,0.57,0.92,0.07,0.42
19261220,-0.34,-1.21,-0.42,-0.03,0.25,-0.64,-0.24,0.62,-0.4,-0.02
19261221,0.4,0.28,-0.15,0.15,-0.33,-0.2,0.01,-0.82,-0.2,-0.11
19261222,-0.14,1.31,0.03,-0.08,0.72,-0.05,-0.5,-0.29,0.38,-0.49
19261223,-0.22,1.02,0.27,0.48,0.4,0.07,-0.07,0.01,-0.02,0.43
19261224,0.35,1.22,0.53,0.54,0.13,-0.12,0.41,0.72,-0.04,-0.21
19261227,-0.01,-0.14,-0.24,0.12,-0.97,-0.27,-0.81,-0.5,0.17,-0.28
19261228,-0.87,-1.73,-1.44,-0.94,-0.99,0.03,-0.84,-1.21,-0.87,-1.18
19261229,0.16,1.21,0.52,0.74,0.32,0.05,-0.11,0.63,0.57,0.32
19261230,0.26,-0.83,-0.17,-1.02,-0.74,0.13,-0.44,-0.49,-0.65,0.05
19261231,0.16,-0.33,0.15,0.15,0.09,0.42,1.1,0.64,0.59,0.65
19270103,-0.32,-1.36,-0.97,-0.61,-1.23,-0.02,-2.13,0.07,-0.34,-0.68
19270104,0.11,1.76,0.27,0.23,0.32,0.09,0.24,0.15,0.62,-0.06
19270105,0.13,0.54,0.24,-0.06,0.63,0.02,0.09,0.73,0.05,0.04
19270106,-0.06,-0.4,-0.12,-0.05,-0.57,0.11,-0.03,0,-0.17,-0.31
19270107,0.18,0.11,0.48,-0.11,0.44,0.73,0.29,1.32,0.21,0.49
19270108,0.18,0.67,0.24,0.19,0,2.18,-0.23,0.46,0.27,0.46
19270110,0.22,-0.1,0.3,0.27,0.58,-0.5,-0.12,0.47,-0.02,0.31
19270111,-0.13,-1.3,-0.31,-0.23,-0.47,-0.38,-0.83,0.27,-0.31,0.28
19270112,-0.33,-0.14,0.14,0.61,0.14,-0.17,-0.06,-0.02,0.06,0.02
19270113,-0.16,-0.97,-0.31,0.89,0.27,-0.14,0.59,-0.46,-0.28,-0.15
19270114,0.16,-0.53,-0.22,0.22,-0.37,0.18,-0.16,0.28,-0.34,0.51
19270115,0.14,-0.34,0.07,0.19,0.15,-0.09,0.03,-0.16,-0.05,0.56
