Date,NoDur,Durbl,Manuf,Enrgy,HiTec,Telcm,Shops,Hlth ,Utils,Other,Mkt-Rf
201208,0.0021,0.0411,0.0331,0.024,0.0453,0.0108,0.027,0.0097,-0.0334,0.0278,0.0131
201209,0.0088,0.0358,0.0163,0.0358,0.0158,0.0481,0.0197,0.0471,0.0217,0.0379,0.0153
201210,-0.0171,0.0591,-0.0066,-0.0179,-0.063,-0.023,-0.0101,-0.0189,0.0105,0.0064,0.0379
201211,0.0326,0.0311,0.0264,-0.0151,0.0189,0.0006,0.0142,0.015,-0.0368,-0.0002,-0.0097
201212,-0.0226,0.073,0.0279,0.0128,0.0024,0.0115,-0.0109,-0.0053,0.0014,0.0342,0.0358
201301,0.051,0.0354,0.0603,0.0767,0.0251,0.0496,0.0557,0.0807,0.0508,0.0693,0.0095
201302,0.0321,0.0002,0.0129,0.0038,0.0054,0.0221,0.0084,0.0135,0.0216,0.0178,0.0003
201303,0.0502,0.0402,0.0261,0.0208,0.0264,0.0577,0.0473,0.065,0.0564,0.0402,-0.003
201304,0.0382,0.0357,0.0083,-0.0135,0.0052,0.0421,0.0266,0.0258,0.0505,0.0082,0.0062
201305,-0.0229,0.099,0.0338,0.0301,0.0437,-0.017,0.0222,0.0163,-0.0699,0.0605,0.026
201306,0.0007,-0.0049,-0.02,-0.0237,-0.0284,0.0218,-0.0006,-0.0136,0.0079,-0.0116,-0.0017
201307,0.0292,0.0898,0.0596,0.0502,0.0597,0.0377,0.0591,0.0787,0.0458,0.0543,0.0056
201308,-0.0391,-0.0111,-0.019,-0.0188,-0.0003,-0.0329,-0.0422,-0.0381,-0.0441,-0.0364,-0.0278
201309,0.0194,0.0644,0.0531,0.0191,0.0389,0.0409,0.045,0.0401,0.0104,0.0378,-0.0119
201310,0.0475,0.0089,0.0447,0.0477,0.0395,0.0559,0.0508,0.0382,0.0334,0.0376,0.0114
201311,0.013,0.0197,0.0289,0.0093,0.0351,0.0052,0.0364,0.045,-0.018,0.0457,0.0024
201312,0.0241,0.0113,0.0305,0.0298,0.042,0.037,0.0029,0.0065,0.0179,0.0308,-0.0031
201401,-0.057,-0.0362,-0.0424,-0.0704,-0.0115,-0.04,-0.0646,0.0165,0.0249,-0.0444,-0.0209
201402,0.0346,0.0792,0.0536,0.057,0.0525,0.0277,0.0533,0.0647,0.0307,0.0345,-0.004
201403,0.0326,-0.0101,0.0034,0.0244,-0.0085,0.0007,-0.0057,-0.0256,0.0268,0.023,0.0509
201404,0.0142,0.0027,0.0087,0.0565,-0.012,0.0025,-0.0094,-0.003,0.0397,-0.016,0.0114
201405,0.0344,0.0064,0.0126,0.0086,0.0345,0.0397,0.0094,0.0188,0,0.0175,-0.0027
201406,0.0117,0.0438,0.0138,0.0416,0.0298,0.016,0.0128,0.0286,0.0541,0.0212,-0.0074
201407,-0.0431,-0.0463,-0.0416,-0.036,0.0032,0.0046,-0.023,-0.0034,-0.0648,-0.0218,0.0001
201408,0.0554,0.052,0.0477,0.0227,0.0428,0.0052,0.0515,0.0543,0.0539,0.0441,-0.0059
201409,-0.0008,-0.0942,-0.0237,-0.0801,-0.013,-0.0171,-0.0144,-0.0008,-0.034,-0.0101,-0.0123
201410,0.0264,0.0386,0.0235,-0.0444,0.0131,0.0141,0.0303,0.0576,0.0669,0.033,-0.017
201411,0.0479,0.0474,0.0223,-0.0987,0.0425,0.0304,0.0746,0.0266,0.0029,0.0273,-0.03
201412,-0.0236,0.0058,-0.0018,0.0041,-0.0128,-0.0174,0.0159,-0.0088,0.0185,0.0113,0.0207
201501,-0.0055,-0.0419,-0.0386,-0.0437,-0.0329,-0.049,-0.003,0.0156,0.0118,-0.0619,-0.0348
201502,0.0503,0.0808,0.0622,0.0482,0.0827,0.091,0.0555,0.0431,-0.0437,0.0689,-0.0179
201503,-0.0243,-0.004,-0.0202,-0.0267,-0.0245,-0.0221,0.007,0.0084,-0.0028,-0.0077,-0.0045
201504,0.0081,-0.0093,-0.0063,0.0697,0.0135,0.034,-0.0218,-0.014,0.003,0.0048,0.0185
201505,0.0153,0.0103,0.0098,-0.0508,0.0205,0.0081,0.0092,0.0488,-0.005,0.0173,-0.0137
201506,-0.0132,-0.0149,-0.0188,-0.0384,-0.0351,-0.0051,-0.006,0.0008,-0.0537,-0.0032,-0.0079
201507,0.0479,-0.0217,-0.0212,-0.0899,0.024,0.0141,0.0478,0.0366,0.0261,0.0202,-0.0412
